sep= 
 ID_CONJUNTO	NOME_CONJUNTO	AGRUPAMENTO	STATUS_DO_EMPREENDIMENTO	STATUS_DA_REGULARIZAÇÃO	UNIDADES_A_INICIAR	UNIDADES_EM_ANDAMENTO	UNIDADES_CONCLUÍDAS	PROGRAMA_E/OU_DEMANDA	PROGRAMA_EXTERNO_E/OU_FONTE_RECURSO	PREVISÃO_ANO_CONCLUSÃO	ANO_PRIMEIRA_ENTREGA_UH	ANO_ÚLTIMA_ENTREGA_UH	COD_FAIXA_RENDA_MCMV_CH	
"398"	"Ágata I (Bloco 5  )"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"108"	"Ágata II (Bloco 6)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"347"	"Alamedas (São João J18)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"144"	"Alvorada I"	"14"	"Obra concluída"	""	""	""	"6"	"Alvorada / Intervenção Estruturante"	"Alvorada"	""	"1998"	"1998"	""
"290"	"Alvorada II"	"14"	"Obra concluída"	""	""	""	"6"	"Alvorada / Intervenção Estruturante"	"Alvorada"	""	"1998"	"1998"	""
"291"	"Alvorada III"	"14"	"Obra concluída"	""	""	""	"6"	"Alvorada / Intervenção Estruturante"	"Alvorada"	""	"1998"	"1998"	""
"197"	"Amarílis (Alto Vera Cruz)"	""	"Obra concluída"	""	""	""	"16"	"OP"	"PBH"	""	"2015"	"2015"	""
"221"	"Âmbar"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2016"	"2016"	""
"346"	"Ameixas (São João J17)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"420"	"Ametista"	""	"Obra em andamento"	""	""	"88"	""	"MCMV"	""	""	""	""	""
